"atlas_block","water_open_base","developed_open_base","developed_low_base","developed_med_base","barren_land_base","forest_deciduous_base","forest_evergreen_base","forest_mixed_base","shrub_scrub_base","grassland_base","pasture_base","cropland_base","wetlands_woody_base","wetlands_herb_base","developed_high_base","developed_lower_base","developed_upper_base","pasture_crop_base","developed_total_base","forest_total_base","wetlands_total_base","water_open_diff","developed_open_diff","developed_low_diff","developed_med_diff","developed_high_diff","barren_land_diff","forest_deciduous_diff","forest_evergreen_diff","forest_mixed_diff","shrub_scrub_diff","grassland_diff","pasture_diff","cropland_diff","wetlands_woody_diff","wetlands_herb_diff","developed_lower_diff","developed_upper_diff","pasture_crop_diff","developed_total_diff","forest_total_diff","wetlands_total_diff","pa_percent","tmax_38yr","tmax_diff","tmin_38yr","tmin_diff","prcp_38yr","prcp_diff","lon","lat","sr_Atlas1","sr_Atlas2"
"4208757CW",0.749151557473922,9.36583579569567,26.0454444224987,48.2598864877833,0.528681035414528,0.630452416651048,0,0,0,0.00939633079415544,0.141731987185432,0.930591340139905,1.83073951764123,0.651502949017947,10.8565861597042,35.4112802181944,59.1164726474874,1.07232332732534,94.5277528656818,0.630452416651048,2.48224246665918,0.0274072034676915,-1.06770412071228,0.121451851545231,1.25554912330162,0.27247196977088,-0.0146333537928008,-0.0338737937629805,0,0,0,-0.00775386828534844,0.0484277755529418,-0.601342787084954,0.0189216645674224,-0.0189216645674223,-0.946252269167047,1.5280210930725,-0.552915011532013,0.581768823905463,-0.0338737937629805,0,5.86158300079524,24.3444792094984,-0.000824576929996823,14.08034650903,-0.00574884916606599,95.0074874978316,3.0502250069066,664768.231457664,2202358.55544298,1,120
"4208758CE",1.11909471329623,9.58905066292184,23.4840320995406,30.1418938773121,0.0378449962797325,1.45794813337832,0,0,0.0075689992559465,0.258355299059534,1.18016564283582,20.5400176408612,0.914906392860989,5.11149005117174,6.15763149122598,33.0730827624624,36.2995253685381,21.720183283697,69.3726081310005,1.45794813337832,6.02639644403273,0.497157162965371,-4.86852190999135,4.2810778720515,14.3931104474771,4.76143477880507,-0.196793980654609,-0.0474947166214734,0,0,-0.00378449962797325,0.161724159645497,0.481250798539146,-19.4932206092401,-0.030275997023786,0.0643364936755457,-0.587444037939846,19.1545452262822,-19.0119698107009,18.5671011883424,-0.0474947166214734,0.0340604966517599,1.37448229942257,24.4524153157284,-0.0487360703317741,13.8844325166,-0.0874106256585367,97.6748477534244,4.07504372847707,659686.587164955,2201923.03118443,65,73
"4208758CW",0.52745156268182,6.93242756457718,12.1366481152736,9.67746985261637,0.798563556616252,7.80311525886708,0,0.0378466140576423,0.00378466140576423,0.208156377317033,3.0529252357258,42.6312478909318,5.04298312196313,8.41554681732948,2.7318333706371,19.0690756798508,12.4093032232535,45.6841731266576,31.4783789031042,7.84096187292472,13.4585299392926,0.0302599991506877,2.68972082991224,5.05488873287767,5.02688607450278,0.825876996805269,-0.121109164984455,-0.131908699270872,0,0,-0.00378466140576423,-0.0663362477792816,-0.116851551361991,-13.589194442447,-0.0165587540253007,0.418110888025991,7.74460956278991,5.85276307130805,-13.706045993809,13.597372634098,-0.131908699270872,0.401552134000688,0.800131681199803,24.5864195070769,-0.100150961624948,13.7724754182916,-0.129528597781533,99.5185626180548,6.80299799065841,654604.657545565,2201490.84904776,11,62
"4208758NW",0.265101083397094,2.73438902683584,5.35435354193212,3.52303909661734,0,4.20604039054502,0,0.0340844250081978,0.0302972666739536,0.113614750027326,4.01182791208769,75.2687465875726,2.18487213911036,1.20455706735575,1.0690767128367,8.08874256876796,4.59211580945404,79.2805744996603,12.680858378222,4.24012481555321,3.38942920646611,0.0497989126057604,0.0799869927283816,1.49087345364603,2.0901706218426,1.81118232488115,0,-0.00267561526299342,0,0.00378715833424421,0.0454459000109304,0.420374575101107,0.645030691417332,-6.75988355839438,0.0454459000109302,0.0804626430789013,1.57086044637441,3.90135294672375,-6.11485286697705,5.47221339309817,0.00111154307125094,0.125908543089832,0,24.5368068092748,-0.0786845558568068,13.6943897699055,-0.204867563749614,99.784713845504,6.20591836226615,654211.524435414,2206131.68365345,47,81
"4208758SE",2.76841188301918,5.92146530625732,14.1784345806579,11.8721286603825,0.181536386036544,3.96233219695056,0.022692048254568,0.0264740562969959,0.00378200804242799,0.283445599603714,5.62775925942961,25.7824287723882,6.16734660000773,17.8117681917926,5.38999445088019,20.0998998869152,17.2621231112627,31.4101880318178,37.3620229981779,4.01149830150212,23.9791147918004,0.137577069505888,-2.14788162888382,3.99890257505426,7.62668517720457,5.21975789792914,-0.147498313654692,-0.155678669074748,0,0.00378200804242799,0.015128032169712,-0.0419761083427286,0.942127254404918,-15.4505851222486,0.0403695238614823,-0.0407096959677631,1.85102094617044,12.8464430751337,-14.5084578678437,14.6974640213041,-0.151896661032319,-0.000340172106280789,7.46363251625819,24.4889035475881,-0.0115478917172069,13.9054228632074,-0.0343985306589225,98.3376287159167,4.80593169362922,660082.795039129,2197282.18916509,7,22
"4208758SW",0.444549103797724,3.06234935140646,6.4877566061737,3.74115423491564,0.00378216995195619,6.81292998695925,0.0605147192312991,0.0340395295676057,0.018910849759781,0.23324282756801,8.40776150578212,54.1140218272687,5.1736204292299,10.0871007921477,1.31826606624017,9.55010595758016,5.05942030115581,62.5217833330508,14.609526258736,6.90748423575815,15.2607212213776,0.314641765469534,-0.153904310466501,1.86689980897769,2.08363629998517,1.57916888350972,0,-0.152654509002608,-0.0151286798078248,-0.00233524120497688,0.00378216995195619,-0.0128366155286222,2.22249983207073,-7.51133445455947,-0.0881202878216607,-0.134314661573146,1.71299549851119,3.66280518349489,-5.28883462248874,5.37580068200608,-0.17011843001541,-0.222434949394808,0.788728034541372,24.6148125497918,-0.0458279659873568,13.7600399820428,-0.082439322220651,100.48831668653,7.35928043566251,654997.813191717,2196849.7474707,9,61
"4208767CW",0.417102422433817,11.5216895324488,27.655403517541,25.4744422665734,0,2.9225990079999,0.235094092644515,0.0303347216315503,0,0.0758368040788759,0.101188358760259,20.8541459578296,2.075121101052,0.0585972554882314,8.57844496151806,39.1770930499898,34.0528872280915,20.9553343165898,73.2299802780813,3.18802782227597,2.13371835654023,-0.00758368040788759,-1.27234439284876,2.71514451555317,4.32117232104086,0.762019497584087,0,-0.186802374307276,0,0,0,0.106171525710426,0.135008884812434,-6.40973716836747,-0.117547046322258,-0.0455020824473255,1.44280012270441,5.08319181862494,-6.27472828355504,6.52599194132935,-0.186802374307276,-0.163049128769583,4.36502541156145,24.3006552144101,0.100094544260127,13.9844264733164,0.0267587460969629,95.1596983859414,2.96159904881529,663570.590488568,2216278.68318562,2,44
"4208767NE",46.7818381396708,2.99812299981701,6.46303694547964,27.5178474733708,0.773591504840299,0.00758836430696577,0,0,0,0,0,0,0.0372072891320775,0,15.4207672833825,9.46115994529666,42.9386147567532,0,52.3997747020499,0.00758836430696577,0.0372072891320775,-0.43617001280478,-0.15736594526985,0.0283637520514324,0.527391319334122,-0.110031282451004,0.147812169140078,0,0,0,0,0,0,0,0,0,-0.129002193218419,0.417360036883125,0,0.288357843664699,0,0,4.18890854529318,24.1942673231426,0.205860439099766,14.2074965426796,0.251585207487407,92.0473304547762,0.369481337697877,668240.575102256,2221355.98994077,7,144
"4208767NW",0.275670303732959,18.1599565536398,25.6107397417941,39.8002159547113,0.00758870669738866,1.06518996215048,0,0.00758870669738866,0,0.462911108540708,0.0784845008962932,6.56664721882439,2.19958003511625,0.497878571028536,5.26754863617044,43.7706962954339,45.0677645908817,6.64513171972069,88.8384608863156,1.07277866884787,2.69745860614478,0.110036247112136,-2.21130636207322,3.11960957147454,8.26309625416502,0.613473466108173,0,0.0117832739290857,0,0,0,0.265604734408603,-0.0520251149010865,-10.173393017105,-0.0417378868356377,0.0948588337173583,0.908303209401325,8.87656972027319,-10.2254181320061,9.78487292967449,0.0117832739290857,0.0531209468817209,3.00965385577113,24.2821631682547,0.154149005287572,13.9457603504783,0.075587071870503,95.8527454576994,2.70006199886924,663171.423960317,2220918.17792566,34,118
"4208767SW",3.98290040032238,18.2696889567522,18.8400181612674,12.0224195238374,0.103364113551283,15.1185394196768,0.163699749124326,0.219201750204832,0.0719973167877207,0.77302382235237,3.02224589838417,18.8682153505648,7.37152201558531,0.204623952975627,0.968539568613366,37.1097071180196,12.9909590924508,21.890461248949,50.1006662104704,15.501440919006,7.57614596856094,0.133776832174894,-1.23577350135482,3.4549740795082,3.7411987002725,0.193255955588092,-0.0108716838913562,0.116977856673532,0,0.0303146597000929,0.0265253272375813,0.204623952975627,0.219781282825674,-6.67015950873438,-0.193255955588093,-0.0113679973875349,2.21920057815338,3.93445465586059,-6.4503782259087,6.15365523401397,0.147292516373625,-0.204623952975628,7.02792602128694,24.3232765699688,0.049287595246966,14.0473084951702,0.0161382273623811,94.2501238772744,3.29010009765625,663969.780764279,2211638.91251885,5,44
